threshold,sensitivity,specificity,ppv,npv,youden_j,f1,tp,fp,tn,fn
0.00,1.0000,0.0000,0.0494,0.0000,0.0000,0.0941,12640,243234,0,0
0.01,1.0000,0.0000,0.0494,0.0000,0.0000,0.0941,12640,243234,0,0
0.02,1.0000,0.0000,0.0494,0.0000,0.0000,0.0941,12640,243234,0,0
0.03,1.0000,0.0000,0.0494,0.0000,0.0000,0.0941,12640,243234,0,0
0.04,1.0000,0.0000,0.0494,0.0000,0.0000,0.0941,12640,243234,0,0
0.05,1.0000,0.0000,0.0494,1.0000,0.0000,0.0942,12640,243226,8,0
0.06,1.0000,0.0001,0.0494,1.0000,0.0001,0.0942,12640,243209,25,0
0.07,1.0000,0.0001,0.0494,1.0000,0.0001,0.0942,12640,243205,29,0
0.08,1.0000,0.0002,0.0494,1.0000,0.0002,0.0942,12640,243193,41,0
0.09,1.0000,0.0002,0.0494,1.0000,0.0002,0.0942,12640,243179,55,0
0.10,1.0000,0.0005,0.0494,1.0000,0.0005,0.0942,12640,243122,112,0
0.11,1.0000,0.0011,0.0494,1.0000,0.0011,0.0942,12640,242976,258,0
0.12,1.0000,0.0023,0.0495,1.0000,0.0023,0.0943,12640,242677,557,0
0.13,1.0000,0.0035,0.0496,1.0000,0.0035,0.0944,12640,242393,841,0
0.14,1.0000,0.0047,0.0496,1.0000,0.0047,0.0946,12640,242086,1148,0
0.15,1.0000,0.0065,0.0497,1.0000,0.0065,0.0947,12640,241648,1586,0
0.16,1.0000,0.0084,0.0498,1.0000,0.0084,0.0949,12640,241188,2046,0
0.17,1.0000,0.0103,0.0499,1.0000,0.0103,0.0950,12640,240740,2494,0
0.18,1.0000,0.0125,0.0500,1.0000,0.0125,0.0952,12640,240205,3029,0
0.19,0.9998,0.0149,0.0501,0.9994,0.0148,0.0954,12638,239603,3631,2
0.20,0.9998,0.0174,0.0502,0.9993,0.0171,0.0956,12637,239012,4222,3
0.21,0.9996,0.0201,0.0503,0.9990,0.0197,0.0959,12635,238351,4883,5
0.22,0.9994,0.0233,0.0505,0.9986,0.0227,0.0961,12632,237557,5677,8
0.23,0.9988,0.0264,0.0506,0.9977,0.0252,0.0963,12625,236809,6425,15
0.24,0.9979,0.0296,0.0507,0.9963,0.0274,0.0965,12613,236039,7195,27
0.25,0.9969,0.0332,0.0509,0.9952,0.0301,0.0968,12601,235153,8081,39
0.26,0.9959,0.0373,0.0510,0.9943,0.0332,0.0971,12588,234152,9082,52
0.27,0.9944,0.0414,0.0512,0.9930,0.0358,0.0973,12569,233153,10081,71
0.28,0.9930,0.0463,0.0513,0.9922,0.0393,0.0976,12551,231961,11273,89
0.29,0.9914,0.0514,0.0515,0.9914,0.0428,0.0979,12531,230733,12501,109
0.30,0.9890,0.0564,0.0517,0.9900,0.0454,0.0982,12501,229511,13723,139
0.31,0.9866,0.0617,0.0518,0.9888,0.0482,0.0984,12470,228228,15006,170
0.32,0.9822,0.0672,0.0519,0.9864,0.0494,0.0985,12415,226900,16334,225
0.33,0.9782,0.0735,0.0520,0.9849,0.0518,0.0988,12365,225348,17886,275
0.34,0.9730,0.0803,0.0521,0.9828,0.0534,0.0989,12299,223692,19542,341
0.35,0.9675,0.0880,0.0522,0.9812,0.0554,0.0991,12229,221838,21396,411
0.36,0.9608,0.0961,0.0523,0.9793,0.0569,0.0993,12145,219865,23369,495
0.37,0.9528,0.1052,0.0524,0.9772,0.0580,0.0994,12044,217650,25584,596
0.38,0.9426,0.1150,0.0524,0.9747,0.0576,0.0994,11914,215257,27977,726
0.39,0.9298,0.1260,0.0524,0.9719,0.0559,0.0992,11753,212578,30656,887
0.40,0.9109,0.1391,0.0521,0.9678,0.0500,0.0986,11514,209410,33824,1126
0.41,0.8911,0.1544,0.0519,0.9646,0.0455,0.0981,11264,205687,37547,1376
0.42,0.8660,0.1718,0.0515,0.9610,0.0378,0.0973,10946,201447,41787,1694
0.43,0.8329,0.1923,0.0509,0.9568,0.0253,0.0959,10528,196448,46786,2112
0.44,0.7948,0.2168,0.0501,0.9531,0.0116,0.0943,10046,190490,52744,2594
0.45,0.7542,0.2455,0.0494,0.9506,-0.0003,0.0927,9533,183508,59726,3107
0.46,0.7052,0.2782,0.0483,0.9478,-0.0166,0.0904,8914,175568,67666,3726
0.47,0.6513,0.3148,0.0471,0.9456,-0.0339,0.0878,8232,166663,76571,4408
0.48,0.5852,0.3564,0.0451,0.9430,-0.0584,0.0838,7397,156557,86677,5243
0.49,0.5154,0.4027,0.0429,0.9412,-0.0818,0.0792,6515,145275,97959,6125
0.50,0.4458,0.4527,0.0406,0.9402,-0.1015,0.0744,5635,133117,110117,7005
0.51,0.3786,0.5089,0.0385,0.9403,-0.1124,0.0699,4786,119443,123791,7854
0.52,0.3058,0.5691,0.0356,0.9404,-0.1251,0.0637,3865,104801,138433,8775
0.53,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.54,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.55,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.56,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.57,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.58,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.59,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.60,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.61,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.62,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.63,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.64,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.65,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.66,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.67,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.68,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.69,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.70,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.71,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.72,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.73,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.74,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.75,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.76,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.77,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.78,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.79,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.80,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.81,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.82,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.83,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.84,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.85,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.86,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.87,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.88,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
0.89,0.0000,1.0000,0.0000,0.9506,0.0000,0.0000,0,0,243234,12640
